2019-05-17 09:39 , 26.1 , 10.6
2019-05-17 10:10 , 33.9 , 4.2
2019-05-17 10:40 , 33.7 , 8.5
2019-05-17 11:10 , 20.5 , 6.7
2019-05-17 11:41 , 23.3 , 13.1
2019-05-17 12:11 , 29.2 , 6.3
2019-05-17 12:42 , 26.0 , 9.4
2019-05-17 13:12 , 10.8 , 10.0
2019-05-17 13:42 , 28.0 , 18.0
2019-05-17 14:13 , 28.8 , 29.1
2019-05-17 14:43 , 9.1 , 4.1
2019-05-17 15:14 , 35.2 , 14.7
2019-05-17 15:44 , 28.5 , 10.4
2019-05-17 16:15 , 28.1 , 5.0
2019-05-17 16:45 , 31.0 , 8.7
2019-05-17 17:15 , 32.8 , 5.9
2019-05-17 17:46 , 40.8 , 20.6
2019-05-17 18:16 , 29.2 , 15.0
2019-05-17 18:47 , 28.7 , 11.8
2019-05-17 19:17 , 27.7 , 3.5
2019-05-17 19:47 , 31.9 , 3.4
2019-05-17 20:18 , 26.5 , 3.8
2019-05-17 20:48 , 25.8 , 27.9
2019-05-17 21:18 , 28.8 , 8.2
2019-05-17 21:49 , 27.4 , 29.0
2019-05-17 22:19 , 26.0 , 5.4
2019-05-17 22:50 , 30.6 , 11.6
2019-05-17 23:20 , 5.2 , 0.6
2019-05-17 23:50 , 12.2 , 1.8
2019-05-18 00:21 , 32.4 , 4.2
2019-05-18 00:51 , 12.6 , 1.2
2019-05-18 01:22 , 11.0 , 5.9
2019-05-18 01:52 , 29.3 , 29.9
2019-05-18 02:22 , 1.4 , 0.7
2019-05-18 02:53 , 7.4 , 36.5
2019-05-18 03:23 , 28.8 , 4.6
2019-05-18 03:53 , 28.5 , 10.2
2019-05-18 04:24 , 30.9 , 4.6
2019-05-18 04:54 , 32.4 , 8.7
2019-05-18 05:25 , 39.7 , 8.8
2019-05-18 05:55 , 19.1 , 3.9
2019-05-18 06:26 , 29.4 , 5.5
2019-05-18 06:56 , 32.9 , 5.4
2019-05-18 07:26 , 45.4 , 4.2
2019-05-18 07:57 , 53.6 , 15.9
2019-05-18 08:27 , 21.6 , 34.6
2019-05-18 08:58 , 16.0 , 5.4
2019-05-18 09:28 , 44.0 , 5.4
2019-05-18 09:58 , 11.6 , 9.8
2019-05-18 10:29 , 34.3 , 4.2
2019-05-18 10:59 , 28.7 , 6.7
2019-05-18 11:29 , 27.3 , 10.1
2019-05-18 12:00 , 24.2 , 38.2
2019-05-18 12:30 , 19.7 , 4.7
2019-05-18 13:01 , 28.4 , 3.4
2019-05-18 13:31 , 26.2 , 1.9
2019-05-18 14:01 , 25.4 , 4.2
2019-05-18 14:32 , 17.5 , 10.3
2019-05-18 15:02 , 22.5 , 13.0
2019-05-18 15:33 , 15.1 , 39.4
2019-05-18 16:03 , 52.3 , 7.5
2019-05-18 16:33 , 36.1 , 5.0
2019-05-18 17:04 , 28.3 , 13.6
2019-05-18 17:34 , 34.3 , 20.5
2019-05-18 18:05 , 4.3 , 12.4
2019-05-18 18:35 , 27.3 , 6.7
2019-05-18 19:05 , 27.0 , 4.2
2019-05-18 19:36 , 26.8 , 5.4
2019-05-18 20:06 , 23.1 , 31.3
2019-05-18 20:36 , 16.8 , 12.5
2019-05-18 21:07 , 29.3 , 12.4
2019-05-18 21:37 , 27.1 , 11.6
2019-05-18 22:08 , 1.0 , 8.1
2019-05-18 22:38 , 13.6 , 14.9
2019-05-18 23:08 , 16.7 , 5.4
2019-05-18 23:39 , 22.2 , 5.0
